Title,Issue Number,Issue Name,Publisher,Cover Date Month,Cover Date Year,Writer(s),Penciller(s),Inker(s)
"Animal Man (2011)","#1","The Hunt, Part One: Warning From the Red","DC Comics"," November","2011","Jeff Lemire","Travel Foreman","Daniel 'Dan' Green, Travel Foreman"
"Animal Man (2011)","#2","The Hunt, Part Two: Maps","DC Comics"," December","2011","Jeff Lemire","Travel Foreman","Travel Foreman"
"Animal Man (2011)","#3","The Hunt, Part Three: Totems","DC Comics"," January","2012","Jeff Lemire","Travel Foreman","Travel Foreman"
"Animal Man (2011)","#4","The Hunt, Part Four: The Rot","DC Comics"," February","2012","Jeff Lemire","Travel Foreman","Jeffrey 'Jeff' Huet, Travel Foreman"
"Animal Man (2011)","#5","The Hunt Conclusion: Food Chain","DC Comics"," March","2012","Jeff Lemire","Steve Pugh, Travel Foreman","Steve Pugh, Jeffrey 'Jeff' Huet"
"Animal Man (2011)","#6","Tights","DC Comics"," April","2012","Jeff Lemire","John Paul Leon, Travel Foreman","John Paul Leon, Jeffrey 'Jeff' Huet"
"Animal Man (2011)","#7","Animal Vs. Man, part one","DC Comics"," May","2012","Jeff Lemire","Steve Pugh, Travel Foreman","Steve Pugh, Jeffrey 'Jeff' Huet"
"Animal Man (2011)","#8","Animal vs. Man, part two","DC Comics"," June","2012","Jeff Lemire","Steve Pugh, Travel Foreman","Steve Pugh, Jeffrey 'Jeff' Huet"
"Animal Man (2011)","#9","Extinction is Forever Part One: The Bone Orchard","DC Comics"," July","2012","Jeff Lemire","Steve Pugh","Steve Pugh"
"Animal Man (2011)","#10","Extinction is Forever Part Two: Warriors of the Redlands","DC Comics"," August","2012","Jeff Lemire","Steve Pugh","Steve Pugh"
"Animal Man (2011)","#11","Extinction is Forever Conclusion: Animal Man vs. Animal Man","DC Comics"," September","2012","Jeff Lemire","Alberto Ponticelli","Wayne Faucher"
"Animal Man (2011)","#12","Rotworld: Prologue Part One","DC Comics"," October","2012","Scott Snyder, Jeff Lemire","Steve Pugh","Steve Pugh"
"Animal Man (2011)","#13","Rotworld: The Red Kingdom Part One","DC Comics"," December","2012","Jeff Lemire","Steve Pugh, Timothy Green Jr. - 'Timothy Green II'","Joseph Silver, Steve Pugh"
"Animal Man (2011)","#14","Rotworld: The Red Kingdom Part Two","DC Comics"," January","2013","Jeff Lemire","Steve Pugh, Timothy Green Jr. - 'Timothy Green II'","Joseph Silver, Steve Pugh"
"Animal Man (2011)","#15","Rotworld: The Red Kingdom Part Three","DC Comics"," February","2013","Jeff Lemire","Steve Pugh, Timothy Green Jr. - 'Timothy Green II'","Joseph Silver, Steve Pugh"
"Animal Man (2011)","#16","Rotworld: The Red Kingdom Part Four","DC Comics"," March","2013","Jeff Lemire","Timothy Green Jr. - 'Timothy Green II', Steve Pugh","Steve Pugh, Joseph Silver"
"Animal Man (2011)","#17","RotWorld: War Of The Rot Part One","DC Comics"," April","2013","Jeff Lemire","Steve Pugh, Timothy Green Jr. - 'Timothy Green II'","Joseph Silver, Steve Pugh"
"Animal Man (2011)","#18","Rotworld: The Red Kingdom Epilogue","DC Comics"," May","2013","Jeff Lemire","Steve Pugh","Steve Pugh"
"Animal Man (2011)","#19","The Funeral","DC Comics"," June","2013","Jeff Lemire","Steve Pugh","Steve Pugh"
"Animal Man (2011)","#20","Tights Part Two","DC Comics"," July","2013","Jeff Lemire","John Paul Leon, Timothy Green Jr. - 'Timothy Green II'","Joseph Silver, John Paul Leon"
"Animal Man (2011)","#21","Splinter Species","DC Comics"," August","2013","Jeff Lemire","Steve Pugh, Francis Portela","Steve Pugh, Francis Portela"
"Animal Man (2011)","#22","Splinter Species Part Two","DC Comics"," September","2013","Jeff Lemire","Francis Portela, Steve Pugh","Francis Portela, Steve Pugh"
"Animal Man (2011)","#23","Splinter Species Conclusion","DC Comics"," October","2013","Jeff Lemire","Francis Portela, Steve Pugh","Francis Portela, Steve Pugh"
"Animal Man (2011)","#24","Hollywood Babylon Part 1 of 2","DC Comics"," December","2013","Jeff Lemire","Rafael Albuquerque","Rafael Albuquerque"
"Animal Man (2011)","#25","Hollywood Babylon Part 2 of 2","DC Comics"," January","2014","Jeff Lemire","Rafael Albuquerque","Rafael Albuquerque"
"Animal Man (2011)","#26","godseed","DC Comics"," February","2014","Jeff Lemire","Cully Hamner","Cully Hamner"
"Animal Man (2011)","#27","Evolve or Die!, Part One","DC Comics"," March","2014","Jeff Lemire","Rafael Albuquerque","Rafael Albuquerque"
"Animal Man (2011)","#28","Evolve or Die! Part Two","DC Comics"," April","2014","Jeff Lemire","Rafael Albuquerque","Rafael Albuquerque"
"Animal Man (2011)","#29","...Goodnight, Animal Man","DC Comics"," May","2014","Jeff Lemire","Jeff Lemire, Travel Foreman","Jeff Lemire, Travel Foreman"
"Ant-Man (2015)","#1","","Marvel"," March","2015","Nick Spencer","Ramon Rosanas","Ramon Rosanas"
"Ant-Man (2015)","#2","","Marvel"," April","2015","Nick Spencer","Ramon Rosanas","Ramon Rosanas"
"Archie (2015)","#1","","Archie Comics"," September","2015","Mark Waid, Vic Bloom","Fiona Staples, Bob Montana","Fiona Staples, Bob Montana"
"Archie (2015)","#2","","Archie Comics"," October","2015","Bob Montana, Mark Waid","Bob Montana, Fiona Staples","Bob Montana, Fiona Staples"
"Archie (2015)","#3","","Archie Comics"," November","2015","Mark Waid, Bob Montana","Fiona Staples, Bob Montana","Fiona Staples, Bob Montana"
"Astro City (2013)","#1","Through Open Doors Part One","DC Comics"," August","2013","Kurt Busiek","Brent Eric Anderson","Brent Eric Anderson"
"Astro City (2013)","#2","Welcome to HumanoGlobal","DC Comics"," September","2013","Kurt Busiek","Brent Eric Anderson","Brent Eric Anderson"
"Avengers (2013)","#1","Avengers World","Marvel"," February","2013","Jonathan Hickman","Jerome Opeña","Jerome Opeña"
"Avengers (2013)","#2","We Were Avengers","Marvel"," February","2013","Jonathan Hickman","Jerome Opeña","Jerome Opeña"
"Avengers (2013)","#3","The Garden","Marvel"," March","2013","Jonathan Hickman","Jerome Opeña","Jerome Opeña"
"Avengers (2013)","#4","The Death And Resurrection Of Major Titans","Marvel"," March","2013","Jonathan Hickman","Adam Kubert","Adam Kubert"
"Avengers (2013)","#5","Superguardian","Marvel"," April","2013","Jonathan Hickman","Adam Kubert","Adam Kubert"
"Avengers (2013)","#6","Zen And The Art Of Cosmology","Marvel"," April","2013","Jonathan Hickman","Adam Kubert","Adam Kubert"
"Avengers (2013)","#7","The Last White Event","Marvel"," May","2013","Jonathan Hickman","Dustin Weaver","Dustin Weaver"
"Avengers (2013)","#8","Starbranded","Marvel"," May","2013","Jonathan Hickman","Dustin Weaver","Dustin Weaver"
"Avengers (2013)","#9","Star Bound","Marvel"," June","2013","Jonathan Hickman","Dustin Weaver, Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'","Dustin Weaver, Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'"
"Avengers (2013)","#10","Validator","Marvel"," June","2013","Jonathan Hickman","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'"
"Avengers (2013)","#11","Wake The Dragon","Marvel"," July","2013","Jonathan Hickman","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'"
"Avengers (2013)","#12","Evolve","Marvel"," July","2013","Nick Spencer, Jonathan Hickman","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'"
"Avengers (2013)","#13","Strong","Marvel"," August","2013","Nick Spencer, Jonathan Hickman","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'"
"Avengers (2013)","#14","The Signal","Marvel"," August","2013","Nick Spencer, Jonathan Hickman","Stefano Caselli","Stefano Caselli"
"Avengers (2013)","#15","Sent And Received","Marvel"," September","2013","Nick Spencer, Jonathan Hickman","Stefano Caselli","Stefano Caselli"
"Avengers (2013)","#16","To The End","Marvel"," September","2013","Nick Spencer, Jonathan Hickman","Stefano Caselli","Stefano Caselli"
"Avengers (2013)","#17","... To The Light","Marvel"," October","2013","Jonathan Hickman, Nick Spencer","Stefano Caselli, Marco Checchetto, Marco Rudy","Stefano Caselli, Marco Rudy, Marco Checchetto"
"Avengers (2013)","#18","Avengers Universe 1","Marvel"," October","2013","Jonathan Hickman","Leinil Francis Yu","Gerry Alanguilan - 'Smile Man'"
"Avengers (2013)","#19","Building Towards Collapse","Marvel"," November","2013","Jonathan Hickman","Leinil Francis Yu","Leinil Francis Yu"
"Avengers (2013)","#20","The Offer","Marvel"," November","2013","Jonathan Hickman","Leinil Francis Yu","Gerry Alanguilan - 'Smile Man'"
"Avengers Vs. X-Men (2012)","#1","","Marvel"," June","2012","Brian Michael Bendis","John Romita Jr.","Scott Hanna"
"Avengers World (2014)","#1","Avengers World","Marvel"," March","2014","Nick Spencer, Jonathan Hickman","Stefano Caselli","Stefano Caselli"
"Avengers World (2014)","#2","","Marvel"," March","2014","Nick Spencer, Jonathan Hickman","Stefano Caselli","Stefano Caselli"
"Avengers: Ultron Forever (2015)","#1","Ultron Forever Part One of Three","Marvel"," June","2015","Al Ewing","Alan Davis","Mark Farmer"
"Avenging Spider-Man (2012)","TPB vol. 01","My Friends Can Beat Up Your Friends","Marvel"," October","2012","Zeb Wells","Leinil Francis Yu, Joe Madureira - 'Joe Mad!', Greg Land",""
"Avenging Spider-Man (2012)","#15.1","","Marvel"," February","2013","Christopher Yost","Paco Medina","Juan Vlasco"
"Avenging Spider-Man (2012)","#16","","Marvel"," March","2013","Christopher Yost","Paco Medina","Juan Vlasco"
"Avenging Spider-Man (2012)","#17","","Marvel"," April","2013","Christopher Yost","Paco Medina","Juan Vlasco"
"Avenging Spider-Man (2012)","#18","","Marvel"," May","2013","Christopher Yost","Marco Checchetto","Marco Checchetto"
"Avenging Spider-Man (2012)","#19","Bad Dreams","Marvel"," June","2013","Christopher Yost","Marco Checchetto","Marco Checchetto"
"Avenging Spider-Man (2012)","#20","The Chameleon Sanction","Marvel"," July","2013","Christopher Yost","Marco Checchetto","Marco Checchetto"
"Avenging Spider-Man (2012)","#21","The Chameleon Sanction Part 2 of 2","Marvel"," July","2013","Christopher Yost","Marco Checchetto","Marco Checchetto"
"Avenging Spider-Man (2012)","#22","Pro-Death","Marvel"," August","2013","Christopher Yost","David López","David López"
"Batgirl (2011)","Annual 03","The Gladius Objective","DC Comics"," September","2015","Cameron Stewart, Brenden Fletcher","David Lafuente, Ming Doyle, Mingjue Helen Chen - 'Helen Chen', Bengal","David Lafuente, Ming Doyle, Mingjue Helen Chen - 'Helen Chen', Bengal"
"Batgirl (2011)","#35","Burned","DC Comics"," January","2015","Brenden Fletcher, Cameron Stewart","Cameron Stewart, Babs Tarr","Babs Tarr"
"Batgirl (2011)","#41","Interference","DC Comics"," August","2015","Cameron Stewart, Brenden Fletcher","Babs Tarr, Joel Gomez","Babs Tarr"
"Batgirl (2011)","#42","Surge Protection","DC Comics"," September","2015","Brenden Fletcher, Cameron Stewart","Babs Tarr, Jake Wyatt, Michel Lacombe","Babs Tarr"
"Batgirl (2011)","#43","Tooth and Claw","DC Comics"," October","2015","Brenden Fletcher, Cameron Stewart","Michel Lacombe, Babs Tarr","Babs Tarr, Juan A. Castro"
"Batgirl (2011)","#44","An Ambush of Tigers","DC Comics"," November","2015","Brenden Fletcher, Cameron Stewart","Bengal","Bengal"
"Batgirl (2011)","#45","Dearly Beloved","DC Comics"," December","2015","Brenden Fletcher, Cameron Stewart","Babs Tarr","Babs Tarr"
"Batgirl (2011)","#46","Gang War","DC Comics"," February","2016","Brenden Fletcher, Cameron Stewart","Babs Tarr, Rob Haynes","Babs Tarr"
"Batgirl (2011)","#47","Police + Thieves","DC Comics"," March","2016","Cameron Stewart, Brenden Fletcher","Justin Norman - 'Moritat', Eleonara Carlini","Justin Norman - 'Moritat', Eleonara Carlini"
"Batgirl (2011)","#48","Old Friends","DC Comics"," April","2016","Cameron Stewart, Brenden Fletcher","Babs Tarr, Rob Haynes","Babs Tarr"
"Batgirl: Endgame (2015)","#1","The Battle for the Burnside Bridge","DC Comics"," May","2015","Cameron Stewart, Brenden Fletcher","Bengal","Bengal"
"Batman (2011)","#13","","DC Comics"," December","2012","James Tynion IV, Scott Snyder, Scott Snyder","Mark Simpson - 'Jock', Greg Capullo","Mark Simpson - 'Jock', Jonathan Glapion"
"Batman (2011)","#14","","DC Comics"," January","2013","Scott Snyder, Scott Snyder, James Tynion IV","Greg Capullo, Mark Simpson - 'Jock'","Jonathan Glapion, Mark Simpson - 'Jock'"
"Batman (2011)","#15","","DC Comics"," February","2013","Scott Snyder, Scott Snyder, James Tynion IV","Greg Capullo, Mark Simpson - 'Jock'","Jonathan Glapion, Mark Simpson - 'Jock'"
"Batman (2011)","#16","","DC Comics"," March","2013","Scott Snyder, Scott Snyder, James Tynion IV","Greg Capullo, Mark Simpson - 'Jock'","Jonathan Glapion, Mark Simpson - 'Jock'"
"Batman (2011)","#17","The Punchline","DC Comics"," April","2013","Scott Snyder","Greg Capullo","Jonathan Glapion"
"Batman (2011)","#18","","DC Comics"," May","2013","James Tynion IV, Scott Snyder, Scott Snyder","Alex Maleev, Andy Kubert","Alex Maleev, Sandra Hope-Archer"
"Batman (2011)","#19","Nowhere Man, Part 1","DC Comics"," June","2013","Scott Snyder, James Tynion IV","Greg Capullo, Alex Maleev","Danny K. Miki, Alex Maleev"
"Batman (2011)","#20","Nowhere Man, Part 2","DC Comics"," July","2013","Scott Snyder, James Tynion IV","Greg Capullo, Alex Maleev","Danny K. Miki, Alex Maleev"
"Batman (2011)","#21","Zero Year: Secret City, Part 1","DC Comics"," August","2013","Scott Snyder, James Tynion IV, Scott Snyder","Greg Capullo, Rafael Albuquerque","Danny K. Miki, Rafael Albuquerque"
"Batman (2011)","#22","Zero Year: Secret City, Part 2","DC Comics"," September","2013","James Tynion IV, Scott Snyder, Scott Snyder","Rafael Albuquerque, Greg Capullo","Rafael Albuquerque, Danny K. Miki"
"Batman (2011)","#23","Zero Year: Secret City, Part 3","DC Comics"," October","2013","James Tynion IV, Scott Snyder, Scott Snyder","Rafael Albuquerque, Greg Capullo","Rafael Albuquerque, Danny K. Miki"
"Batman (2011)","#23.1","Time to Monkey Shine","DC Comics"," November","2013","Andy Kubert","Andy Clarke","Andy Clarke"
"Batman (2011)","#23.2","Solitaire","DC Comics"," November","2013","Scott Snyder, Ray Fawkes","Jeremy Haun","Jeremy Haun"
"Batman (2011)","#41","Superheavy, Part One","DC Comics"," August","2015","Scott Snyder","Greg Capullo","Danny K. Miki"
"Batman (2011)","#42","Superheavy, Part Two","DC Comics"," September","2015","Scott Snyder","Greg Capullo","Danny K. Miki"
"Batman (2011)","#43","Superheavy, Part Three","DC Comics"," October","2015","Scott Snyder","Greg Capullo","Danny K. Miki"
"Batman (2011)","#44","A Simple Case","DC Comics"," November","2015","Brian Azzarello, Scott Snyder","Mark Simpson - 'Jock'","Mark Simpson - 'Jock'"
"Batman (2011)","#45","Superheavy, Part Five","DC Comics"," December","2015","Scott Snyder","Greg Capullo","Danny K. Miki"
"Batman (2011)","#46","Superheavy, Part Six","DC Comics"," January","2016","Scott Snyder","Greg Capullo","Danny K. Miki"
"Batman (2011)","#47","Superheavy, Part Seven","DC Comics"," February","2016","Scott Snyder","Greg Capullo","Danny K. Miki"
"Batman (2011)","#48","Superheavy Part Eight","DC Comics"," March","2016","Scott Snyder","Greg Capullo","Danny K. Miki"
"Batman (2011)","#49","Superheavy Part Nine","DC Comics"," April","2016","Scott Snyder, James Tynion IV","Yanick Paquette","Yanick Paquette"
"Batman (2011)","#50","Superheavy Part Ten","DC Comics"," May","2016","James Tynion IV, Scott Snyder","Yanick Paquette","Yanick Paquette"
"Batman (2011)","#51","Gotham Is","DC Comics"," June","2016","Scott Snyder","Greg Capullo","Danny K. Miki"
"Batman Eternal (2014)","#1","","DC Comics"," June","2014","James Tynion IV, Scott Snyder, Tim Seeley, John Layman, Ray Fawkes","Jason Fabok","Jason Fabok"
"Batman Eternal (2014)","#2","","DC Comics"," June","2014","James Tynion IV, Scott Snyder, Tim Seeley, John Layman, Ray Fawkes","Jason Fabok","Jason Fabok"
"Batman Eternal (2014)","#3","","DC Comics"," June","2014","Ray Fawkes, John Layman, Tim Seeley, Scott Snyder, James Tynion IV","Jason Fabok","Jason Fabok"
"Batman Eternal (2014)","#4","Injustice for All","DC Comics"," June","2014","Ray Fawkes, John Layman, Tim Seeley, Scott Snyder, James Tynion IV","Dustin Nguyen","Derek Fridolfs"
"Batman Eternal (2014)","#5","Disinfect","DC Comics"," July","2014","Scott Snyder, James Tynion IV, Ray Fawkes, John Layman, Tim Seeley","Andy Clarke","Andy Clarke"
"Batman Eternal (2014)","#6","The Denied","DC Comics"," July","2014","James Tynion IV, Scott Snyder, Tim Seeley, John Layman, Ray Fawkes","Trevor McCarthy","Trevor McCarthy"
"Batman Eternal (2014)","#7","","DC Comics"," July","2014","Scott Snyder, James Tynion IV, Tim Seeley, Ray Fawkes, John Layman","Emanuel Simeoni","Emanuel Simeoni"
"Batman Eternal (2014)","#8","Guided by Darkness","DC Comics"," July","2014","James Tynion IV, Scott Snyder, Tim Seeley, John Layman, Ray Fawkes","Guillem March","Guillem March"
"Batman Eternal (2014)","#9","The Unburied Past","DC Comics"," August","2014","James Tynion IV, Scott Snyder, Tim Seeley, John Layman, Ray Fawkes","Guillem March","Guillem March"
"Batman Eternal (2014)","#10","When Animals Attack","DC Comics"," August","2014","Ray Fawkes, John Layman, Tim Seeley, Scott Snyder, James Tynion IV","Riccardo Burchielli","Riccardo Burchielli"
"Batman Eternal (2014)","#11","Day of the Dads","DC Comics"," August","2014","Ray Fawkes, John Layman, Tim Seeley, Scott Snyder, James Tynion IV","Ian Bertram","Ian Bertram"
"Batman Incorporated (2011)","HC","Batman, Incorporated: The Deluxe Edition","DC Comics"," April","2012","Grant Morrison, Grant Morrison, Grant Morrison, Grant Morrison, Grant Morrison, Grant Morrison, Grant Morrison, Grant Morrison, Grant Morrison, Grant Morrison, Grant Morrison","Yanick Paquette, Yanick Paquette, Yanick Paquette, Pere Perez, Chris Burnham, Yanick Paquette, Chris Burnham, Chris Burnham, David M. Beaty - 'Dave Beaty', Scott Clark, Cameron Stewart, Chris Burnham","Michel Lacombe, Michel Lacombe, Michel Lacombe, Pere Perez, Chris Burnham, Michel Lacombe, Chris Burnham, Chris Burnham, Scott Clark, Cameron Stewart, Chris Burnham"
"Batman Incorporated (2012)","#0","Brand Building","DC Comics"," November","2012","Grant Morrison, Chris Burnham","Frazer Alex Irving","Frazer Alex Irving"
"Batman Incorporated (2012)","#1","Leviathan, Part One: Demon Star","DC Comics"," July","2012","Grant Morrison","Chris Burnham","Chris Burnham"
"Batman Incorporated (2012)","#2","Eye of the Gorgon","DC Comics"," August","2012","Grant Morrison","Chris Burnham","Chris Burnham"
"Batman Incorporated (2012)","#3","The Hanged Man","DC Comics"," September","2012","Grant Morrison","Chris Burnham","Chris Burnham"
"Batman Incorporated (2012)","#4","Kill Box","DC Comics"," December","2012","Grant Morrison","Chris Burnham","Chris Burnham"
"Batman Incorporated (2012)","#5","Asylum","DC Comics"," January","2013","Grant Morrison","Chris Burnham","Chris Burnham"
"Batman Incorporated (2012)","#6","Garland Of Skulls","DC Comics"," February","2013","Grant Morrison","Andres Guinaldo, Chris Burnham","Javier Bergantiño - 'Bit', Chris Burnham"
"Batman Incorporated (2012)","#7","Belly Of The Whale","DC Comics"," March","2013","Grant Morrison","Jason Masters, Chris Burnham","Jason Masters, Chris Burnham"
"Batman Incorporated (2012)","#8","The Boy Wonder Returns","DC Comics"," April","2013","Grant Morrison","Chris Burnham, Jason Masters","Chris Burnham, Jason Masters"
"Batman Incorporated (2012)","#9","Fallen Son","DC Comics"," May","2013","Grant Morrison","Jason Masters, Chris Burnham","Jason Masters, Chris Burnham"
"Batman Incorporated (2012)","#10","Gotham's Most Wanted","DC Comics"," June","2013","Grant Morrison","Andrei Bressan, Jason Masters, Chris Burnham","Chris Burnham, Jason Masters, Andrei Bressan"
"Batman Incorporated (2012)","#11","Interlude: A Bird in the Hand","DC Comics"," July","2013","Chris Burnham","Jorge Lucas","Jorge Lucas"
"Batman Incorporated (2012)","#12","Fatherless","DC Comics"," August","2013","Grant Morrison","Chris Burnham","Chris Burnham"
"Batman Incorporated (2012)","#13","The Dark Knight and the Devil's Daughter","DC Comics"," September","2013","Grant Morrison","Chris Burnham","Chris Burnham"
